Age,Gender,Retailer,RetailerFreqency,Items,Ethnicity,Education,HouseholdIncome,Q_TotalDuration,SurveyTime,EXP-1,EXP-2,EXP-3,SAT-1,SAT-2,SAT-3,SAT-4,SAT-5,PWOM-1,PWOM-2,PWOM-3,INTENT-1,INTENT-2,INTENT-3,INTENT-4,ENJOY-1,ENJOY-2,ENJOY-3,ENJOY-4
18,Female,TjMaxx,Somewhat Frequently,Activewear ,White,Some College/Associates Degree,"Greater than $100,000",158,117.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,7,2
36,Male,aldi,Frequently,international food,White,Bachelor's degree,"$50,001-75,000",1724,118.5,6,7,5,7,5,6,6,,5,6,7,6,5,6,6,5,6,7,6
64,Female,CVS,Occasionally,Rx,White,Some College/Associates Degree,"$35,001-$50,000",129,122.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,6,6,4
71,Male,Harris Teeter,Occasionally,beef tenderloin,White,Graduate/Professional Degree,"$50,001-75,000",1434,125,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,1,4,5,1
35,Female,Burkes,Rarely,Christmas present for my mom,White,Graduate/Professional Degree,"$50,001-75,000",4626,125.5,4,4,4,5,4,5,4,5,4,5,4,5,3,4,5,4,6,5,4
77,Male,belks,Somewhat Frequently,fleece shirts,White,Bachelor's degree,"$50,001-75,000",261,126.5,7,7,7,7,7,7,7,7,6,6,6,6,2,6,6,2,5,5,4
60,Male,Macys,Occasionally,perfume,White,Bachelor's degree,"Greater than $100,000",156,133.5,5,5,5,5,5,6,6,6,6,5,5,6,2,6,6,5,5,4,3
37,Female,Macy's,Somewhat Frequently,Clothes,Hispanic/Latino,Graduate/Professional Degree,"Greater than $100,000",114,134,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,1,6,6,7
35,Female,Macys,Somewhat Frequently,clothing,White,Bachelor's degree,"$35,001-$50,000",173,135.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,7,7
68,Female,Dillards,Occasionally,Make-up,White,High School/GED,"$20,001-$35,000",174,135.5,7,7,7,7,7,7,7,7,6,7,6,7,1,6,7,2,6,7,2
60,Female,TJ Maxx,Somewhat Frequently,christmas gifts,White,Bachelor's degree,"$35,001-$50,000",168,135.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,4
78,Female,Bronners,Occasionally,ornaments,White,High School/GED,"$35,001-$50,000",238,137,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,3,6,5,4
55,Female,Amazon,Occasionally,camera,Other,Graduate/Professional Degree,"$20,000 less",140,140,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,5,5,5,2
77,Female,americaneagle,Rarely,boys jeans,White,Some College/Associates Degree,"Greater than $100,000",322,143.5,,7,,,,,7,,6,6,6,6,2,6,6,2,6,6,2
74,Female,Bealls outlet,Occasionally,Christmas gifts,White,Bachelor's degree,"$75,000-$100,000",559,144,6,6,6,5,5,6,6,7,6,6,6,6,1,6,6,5,6,6,4
29,Female,Academy,Rarely,Fanny Pack,White,Bachelor's degree,"$20,001-$35,000",146,145,1,3,1,4,3,1,1,2,4,4,3,2,3,3,4,6,7,3,1
51,Female,Kroger,Somewhat Frequently,meat,White,Some College/Associates Degree,"$20,001-$35,000",204,146.5,4,5,5,5,5,6,5,5,6,5,4,6,1,5,7,2,4,5,1
29,Female,Mmart,Frequently,Great client,Hispanic/Latino,Bachelor's degree,"$35,001-$50,000",117,146.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,Female,Kohls,Somewhat Frequently,Myself,White,Some College/Associates Degree,"$20,001-$35,000",147,147,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
37,Female,Kohls ,Occasionally,Kids’ clothes ,White,Some College/Associates Degree,"$50,001-75,000",155,148.5,6,6,6,7,6,6,6,6,6,6,6,6,2,4,6,4,5,4,4
59,Female,Kohl's ,Frequently,Gifts,White,High School/GED,"Greater than $100,000",120,153,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7
61,Female,best buy,Somewhat Frequently,tv,White,Bachelor's degree,"$50,001-75,000",191,154.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,2,1,1
64,Female,JC Penney’s ,Occasionally,Palazzo pants,White,Some College/Associates Degree,"$50,001-75,000",434,156.5,6,7,7,6,5,5,6,6,6,6,6,5,3,4,6,4,6,5,5
71,Male,Kohls,Rarely,Lincoln Logs,White,Graduate/Professional Degree,"$35,001-$50,000",187,156.5,5,5,7,6,6,7,7,6,5,4,4,4,4,3,5,2,3,5,5
45,Female,Target,Frequently,Food and health items and Christmas,Hispanic/Latino,Some College/Associates Degree,"$20,001-$35,000",396,156.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,5,3
72,Female,duane reade,Frequently,vitamins,White,,"$20,000 less",217,159,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,5,5,4
71,Female,bed bath and beyond,Occasionally,towels,White,Graduate/Professional Degree,"$20,001-$35,000",153,160.5,7,5,7,5,7,7,7,7,7,7,7,7,1,7,7,3,7,6,3
27,Male,Target,Somewhat Frequently,Underwear,White,Some College/Associates Degree,"$20,001-$35,000",180,160.5,5,6,4,5,5,6,5,5,7,7,7,7,1,4,7,5,6,7,7
88,Female,Fred Meyer,Frequently,bakery products,White,Graduate/Professional Degree,"$35,001-$50,000",190,163,1,2,4,4,5,4,4,5,6,6,6,6,1,6,6,5,4,4,2
37,Female,Nordstrom,Rarely,mens hats,White,High School/GED,"$35,001-$50,000",128,163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,1,1
58,Female,Lane Bryant,Somewhat Frequently,Bras,White,Some College/Associates Degree,"$50,001-75,000",104,164,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4
23,Female,Forever 21,Somewhat Frequently,A sweater ,White,Bachelor's degree,"$20,000 less",179,167.5,7,7,7,7,7,7,7,7,7,7,7,6,2,6,7,3,5,7,6
60,Female,Menards,Occasionally,Christmas ,White,High School/GED,"$35,001-$50,000",187,168.5,6,6,6,6,6,6,6,6,7,7,7,7,2,6,7,1,7,5,4
56,Male,walmart,Frequently,toilet hose,Black,Some College/Associates Degree,"$20,001-$35,000",196,172,7,7,6,7,7,7,7,7,6,6,6,7,1,7,7,2,5,2,1
38,Female,amazon,Occasionally,gifts,White,Bachelor's degree,"$35,001-$50,000",276,173.5,5,5,6,6,6,6,5,5,5,6,6,6,6,5,6,5,5,6,6
48,Female,macys,Occasionally,cooking pans,Black,Bachelor's degree,"$20,001-$35,000",1290,178,6,6,5,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6
18,Female,Forever 21,Somewhat Frequently,Clothes,Hispanic/Latino,High School/GED,"$20,001-$35,000",273,178.5,7,7,7,7,7,7,7,7,6,6,1,7,1,4,7,1,6,7,5
57,Female,walmart,Somewhat Frequently,food,White,High School/GED,"$20,000 less",283,178.5,6,5,5,2,2,2,3,3,5,4,4,7,1,6,7,5,5,4,2
43,Male,Disney,Occasionally,Toy for my daughter,Hispanic/Latino,Some College/Associates Degree,"$75,000-$100,000",465,181,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,5,6,6
60,Female,Kohl’s ,Somewhat Frequently,Clothes,White,High School/GED,"$75,000-$100,000",256,182.5,6,6,6,6,7,7,6,6,6,7,7,6,1,6,6,2,6,7,6
30,Male,Walmart,Frequently,I like,White,Graduate/Professional Degree,"$75,000-$100,000",118,184,7,6,7,6,7,6,6,6,6,6,7,7,6,6,7,6,7,6,6
44,Female,Meijer,Frequently,Groceries ,White,Graduate/Professional Degree,"Greater than $100,000",201,188,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,6,5,4
51,Female,Fred Meyer,Frequently,Holiday Item,White,High School/GED,"$20,001-$35,000",181,191.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,6,4,4
87,Female,joy's boutique,Somewhat Frequently,winter clothes i.e. sweaters,White,Graduate/Professional Degree,"$50,001-75,000",296,192.5,,,7,,,,7,,7,7,7,6,1,7,7,2,7,6,2
77,Female,shop rite,Frequently,groceries,White,,"$50,001-75,000",267,193.5,7,6,6,6,6,6,6,6,6,6,6,7,2,6,7,5,4,3,2
35,Female,VStock,Occasionally,Christmas gifts,White,Some College/Associates Degree,"$20,000 less",134,193.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,6,1,2
23,Male,amazon,Frequently,blanket,Black,High School/GED,"$50,001-75,000",19099,203,7,6,7,7,7,6,7,5,6,7,7,6,6,5,6,7,6,6,7
76,Female,Cancer Connection Thrift Shop,Somewhat Frequently,Just shopping! I like surprises ,White,Graduate/Professional Degree,"$20,001-$35,000",314,205,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,7,6
37,Female,Antigone books,Occasionally,Christmas gifts ,White,Graduate/Professional Degree,"$50,001-75,000",181,207.5,7,6,6,6,6,6,6,6,7,7,7,7,1,6,7,6,4,2,1
74,Male,Spencer's Appliance,Somewhat Rarely,Refrigerator,White,Graduate/Professional Degree,"$75,000-$100,000",215,208,3,5,6,5,6,6,4,6,6,6,6,6,2,6,6,4,6,5,4
49,Male,cabellas,Occasionally,Guns,White,Bachelor's degree,"Greater than $100,000",207,209,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,2,1,1
71,Female,dol,Somewhat Frequently,toiletries,White,Graduate/Professional Degree,"$20,001-$35,000",124,210,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,6,6,6
64,Female,J C Penneys,Occasionally,clothes,White,Some College/Associates Degree,"$75,000-$100,000",235,212.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,4,4,4
27,Female,Target,Frequently,Cookie dough,White,Bachelor's degree,"$75,000-$100,000",286,215.5,4,5,4,7,7,7,7,7,6,6,6,6,2,6,6,3,5,5,5
56,Male,cabellas,Somewhat Frequently,winter clothing,White,Some College/Associates Degree,"Greater than $100,000",215,217,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,3,7,3
33,Female,Walmart and target ,Occasionally,Decor and new things,White,Other,"$20,000 less",315,217.5,6,5,4,5,5,4,5,5,6,6,5,6,5,6,5,4,2,6,2
55,Male,aldi,Somewhat Frequently,gifts,White,,,122,218.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,5,5
61,Female,Walmart,Frequently,groceries,White,Some College/Associates Degree,"$75,000-$100,000",137,218.5,5,5,5,5,5,5,5,5,5,6,6,6,1,6,6,5,5,5,5
74,Male,St. Patrick's Guild,Occasionally,Christmas gifts,Native American,Bachelor's degree,"$35,001-$50,000",283,221.5,7,7,7,7,7,7,7,7,6,4,4,6,2,4,6,4,4,4,2
41,Female,Jc Penney,Occasionally,Electric Skillet,White,Bachelor's degree,"Greater than $100,000",96,222,7,5,5,6,6,7,7,7,5,4,4,5,2,5,6,3,2,6,6
69,Female,Hobby Lobby,Frequently,material and home decor,White,Bachelor's degree,"$35,001-$50,000",302,223.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,7,7,7
40,Female,Burlington,Rarely,Coat and dresses,White,Other,"$20,000 less",170,226.5,3,3,3,,,3,,,6,5,5,1,5,1,5,7,1,1,1
57,Female,macys,Occasionally,treats,White,High School/GED,"$20,000 less",100,233,6,6,6,7,6,6,7,6,5,5,5,6,5,6,6,2,3,2,2
76,Female,CVS,Somewhat Frequently,,White,,"$50,001-75,000",185,234.5,7,7,7,,,,,,7,7,5,7,1,7,7,4,7,7,6
65,Female,Amazon,Frequently,Instant Pot,White,Bachelor's degree,"$20,001-$35,000",468,240,6,6,7,7,7,7,7,6,7,7,7,7,1,7,7,4,5,5,2
51,Female,TJMaxx,Somewhat Frequently,browsing,White,Some College/Associates Degree,"Greater than $100,000",127,240,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,7,5
57,Female,American Giant,Somewhat Rarely,Men's jacket,White,Some College/Associates Degree,"Greater than $100,000",167,244.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,5,5,2
58,Female,Meijer,Frequently,Food and household items,Native American,Some College/Associates Degree,"$20,000 less",261,247,5,7,4,4,4,4,4,4,5,5,5,6,1,6,6,1,6,6,2
37,Female,petco,Somewhat Rarely,dog food,White,High School/GED,"$20,001-$35,000",98,248,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,6,5
71,Female,walmart,Somewhat Frequently,Christmas,White,High School/GED,"$20,001-$35,000",192,250,6,6,7,7,7,7,7,7,6,6,6,6,1,6,6,4,6,6,4
63,Female,Walmart,Occasionally,peanuts,Native American,Some College/Associates Degree,"$50,001-75,000",201,251.5,2,1,2,1,1,1,1,1,3,3,3,4,4,4,4,4,6,5,4
74,Female,Father & Son Jewelers,Occasionally,Repairs,White,Graduate/Professional Degree,"Greater than $100,000",158,254,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5
69,Female,Ikea,Rarely,lamp,White,Some College/Associates Degree,"$35,001-$50,000",2034,255,7,7,7,7,7,7,7,7,7,7,5,5,1,6,7,2,7,7,5
67,Male,frys,Somewhat Frequently,grocerys,White,Graduate/Professional Degree,"$20,001-$35,000",414,255,6,7,6,6,7,7,5,6,6,6,5,6,1,6,7,2,5,6,3
75,Female,Kohls,Somewhat Frequently,bedding for my 2 great grandchildren,White,Some College/Associates Degree,"$50,001-75,000",207,261.5,6,5,6,6,6,6,6,6,5,5,5,6,1,5,5,4,5,5,4
63,Female,Walmart,Frequently,Turkey legs,White,High School/GED,"$75,000-$100,000",779,263.5,3,2,2,2,2,1,2,2,2,2,2,2,3,3,6,1,7,7,6
64,Female,BURLINGTON,Rarely,SHOES,Other,Graduate/Professional Degree,"$20,000 less",224,265,7,7,7,7,7,7,,7,7,6,6,6,1,5,7,5,6,7,1
38,Male,target,Occasionally,food,White,,,750,265.5,7,5,7,5,7,5,7,5,7,5,6,7,2,5,7,1,4,6,6
64,Female,LL Bean,Rarely,Just looking,White,Graduate/Professional Degree,"Greater than $100,000",2399,267,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,5,6,5
71,Female,Kohls,Somewhat Frequently,Christmas gifts,White,High School/GED,"$20,001-$35,000",158,268.5,7,7,7,7,7,7,7,,7,7,7,7,1,7,7,2,5,5,4
63,Female,Old Navy,Rarely,Granddaughter ,White,Some College/Associates Degree,"$50,001-75,000",399,271.5,6,6,7,4,5,4,4,5,5,5,4,3,4,3,4,7,4,5,4
55,Female,Target,Occasionally,Christmas Gifts,White,Graduate/Professional Degree,"Greater than $100,000",430,279.5,7,7,7,7,7,7,7,7,6,7,7,7,1,6,7,2,1,5,4
64,Female,Bed Bath and Beyond ,Occasionally,Bathroom accessories ,White,Graduate/Professional Degree,"$50,001-75,000",338,281,7,7,7,7,7,7,7,7,6,7,6,5,2,4,6,2,6,6,6
26,Female,Target,Somewhat Frequently,clothing,White,Bachelor's degree,"$75,000-$100,000",299,282.5,6,5,6,7,7,7,7,7,7,6,6,7,1,6,7,5,7,3,3
37,Female,Dillards ,Somewhat Frequently,Shoes,Hispanic/Latino,High School/GED,"Greater than $100,000",320,284.5,7,7,7,6,6,6,7,7,6,6,6,6,1,6,7,3,6,6,6
66,Male,Amazon ,Occasionally,Soap pump,White,Bachelor's degree,"Greater than $100,000",142,291,6,6,6,5,5,6,5,5,6,6,6,6,3,5,6,2,4,5,5
46,Female,Walmart,Occasionally,Christmas ,White,Bachelor's degree,"$20,000 less",131,292.5,7,7,7,7,7,7,7,7,6,6,6,6,1,6,6,5,5,5,1
74,Female,walmart,Frequently,groceries,Other,High School/GED,,240,293,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,4,4,1
62,Female,Macys,Occasionally,dresses,White,High School/GED,"$20,001-$35,000",324,294,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,2,6,7,6
71,Female,Target,Somewhat Frequently,Bandaids,White,Some College/Associates Degree,"$20,000 less",405,298.5,6,6,3,5,4,4,3,3,5,7,7,7,1,7,7,1,7,6,1
83,Female,target,Somewhat Frequently,various,White,Other,"$20,001-$35,000",580,301,6,6,6,5,5,5,5,5,5,5,5,6,1,6,6,3,5,6,6
60,Male,kohls,Occasionally,shirts,White,Graduate/Professional Degree,"Greater than $100,000",135,309.5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,4,5,4,3
59,Female,Walmart,Frequently,sweatshirts,White,Some College/Associates Degree,"$20,000 less",155,311,6,6,6,6,6,6,6,6,7,7,7,7,1,7,7,3,4,5,1
50,Male,Nordstrom,Somewhat Frequently,Boots,Hispanic/Latino,Graduate/Professional Degree,"Greater than $100,000",284,314.5,7,7,7,6,7,7,7,7,7,7,7,7,1,7,7,1,6,6,6
44,Female,macys,Frequently,cloths,Hispanic/Latino,Graduate/Professional Degree,"$50,001-75,000",249,318.5,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,2,7,7,7
70,Female,steunmart,Occasionally,sweaters,White,Some College/Associates Degree,"Greater than $100,000",226,320,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
77,Male,Walmart,Somewhat Frequently,Coat,White,High School/GED,"$35,001-$50,000",193,324,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,6,5,4
57,Female,Original Pancake House,Occasionally,gift card,East Asian,Some College/Associates Degree,"$20,000 less",1255,329.5,1,4,1,1,1,1,1,4,4,4,4,4,2,4,5,2,6,6,6
71,Male,Khols,Occasionally,Pants,White,Some College/Associates Degree,"$35,001-$50,000",141,329.5,7,7,7,7,7,7,7,7,5,5,5,5,2,5,5,4,5,5,5
70,Female,macy's ,Occasionally,sheets,White,Some College/Associates Degree,"$50,001-75,000",545,330.5,7,7,7,7,7,7,7,7,7,7,7,6,2,6,6,5,6,6,3
69,Male,amazon,Somewhat Frequently,gifts,White,Graduate/Professional Degree,"$20,001-$35,000",239,338,7,7,7,7,7,7,7,7,7,7,7,6,1,6,6,5,6,6,3
48,Female,Brides by Young,Rarely,Wedding Dress,White,Graduate/Professional Degree,"Greater than $100,000",127,339,7,7,7,7,7,7,7,7,7,7,7,1,7,4,1,5,5,1,1
59,Female,Walmart,Frequently,Frozen roast beef ,White,Graduate/Professional Degree,"$35,001-$50,000",232,340,7,1,1,1,1,1,1,1,7,7,7,7,1,7,,1,5,5,3
46,Female,Petsmart,Occasionally,Betta fish,Black,Bachelor's degree,"Greater than $100,000",145,340.5,6,6,4,6,6,7,7,7,6,6,6,6,1,6,7,1,7,7,7
51,Female,Goodwill,Somewhat Frequently,Home decor,White,Bachelor's degree,"Greater than $100,000",100,343,7,7,7,7,7,7,7,7,6,7,4,7,,1,7,1,4,7,3
30,Female,Walmart,Somewhat Frequently,Food (groceries),White,Graduate/Professional Degree,"$75,000-$100,000",149,343.5,3,4,3,3,2,3,3,3,4,3,3,4,2,3,5,5,5,3,2
52,Female,Macy's,Somewhat Frequently,houseware,Black,Bachelor's degree,"$50,001-75,000",1036,348,7,7,7,7,7,7,7,7,6,7,6,5,2,6,6,6,1,2,1
28,Female,Kohls,Rarely,Clothing,Other,Some College/Associates Degree,"$20,001-$35,000",241,350,,,7,,,,,7,6,6,6,6,2,6,6,5,7,6,6
49,Female,Georgia Mega Mall,Somewhat Frequently,Christmas,Prefer not to answer,Some College/Associates Degree,"$20,000 less",230,366,6,6,6,6,6,6,7,7,6,7,7,5,1,6,7,7,7,2,3
73,Male,car dealership,Rarely,automobile,White,Graduate/Professional Degree,"Greater than $100,000",153,367.5,5,5,6,6,5,6,6,6,4,3,5,5,6,5,5,5,4,3,5
55,Female,Khloe's ,Occasionally,Air fryer ,White,Some College/Associates Degree,"$20,001-$35,000",259,369.5,,,,,,,,,,6,6,6,1,6,7,3,2,4,2
30,Female,Target,Occasionally,Organizational products,Black,Bachelor's degree,"Greater than $100,000",142,380,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,6,7,1
55,Female, Neiman marcus ,Somewhat Frequently,Gourmet hot chocolagr,White,Bachelor's degree,"Greater than $100,000",578,382,7,7,7,7,7,7,7,7,6,6,6,6,1,6,6,4,7,4,4
67,Female,Kohls,Occasionally,Shoes,Hispanic/Latino,Graduate/Professional Degree,"$75,000-$100,000",235,383,7,7,7,7,7,7,7,7,6,7,7,7,2,7,7,2,6,6,2
70,Male,Amazon.com,Somewhat Frequently,Camera case,White,High School/GED,"$35,001-$50,000",695,386,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,3,2,1
61,Male,home depot,Somewhat Frequently,flooring,White,Bachelor's degree,"$50,001-75,000",216,393,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,5,4,4
59,Female,We ARe Nuts,Somewhat Frequently,nuts and other food products,White,Graduate/Professional Degree,"$35,001-$50,000",152,394.5,6,6,7,6,7,6,6,6,7,7,7,6,1,6,7,3,4,3,1
53,Female,Walmart,Somewhat Frequently,Toys for special needs kids,White,,"$75,000-$100,000",379,395.5,7,7,7,7,7,7,7,7,6,4,4,6,1,4,6,5,5,5,1
66,Female,Kohl's,Occasionally,Christmas wrap,East Asian,Bachelor's degree,"$75,000-$100,000",131,397,7,7,7,7,7,7,7,7,7,7,7,7,1,6,6,4,6,6,4
59,Female,vf outlet,Rarely,handbag,White,Bachelor's degree,"$50,001-75,000",380,397.5,7,7,7,7,7,7,7,7,7,7,7,7,1,4,7,5,4,6,2
58,Female,target,Occasionally,storage,White,Some College/Associates Degree,"$20,000 less",242,398,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,3
58,Female,Home Depot ,Somewhat Frequently,Screen door ,White,High School/GED,"$75,000-$100,000",163,398.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,6,7
63,Female,Carters,Occasionally,Children’s clothing ,White,Bachelor's degree,"Greater than $100,000",134,402,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,5,5,4
53,Male,Wiebolt,Occasionally,Tj maxx,East Asian,Bachelor's degree,"$75,000-$100,000",530,406.5,6,6,6,6,6,6,6,6,6,6,7,6,1,5,6,3,5,6,5
65,Female,Lamecker's General Store,Occasionally,dog toys,White,Bachelor's degree,"$20,001-$35,000",321,408.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,5,6,3
61,Female,Target,Somewhat Frequently,Hangers,Other,Some College/Associates Degree,"$35,001-$50,000",254,409,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,5,5,2
54,Female,costco,Frequently,gloves,White,Graduate/Professional Degree,"Greater than $100,000",613,409,7,7,7,7,7,7,7,7,7,7,7,7,1,7,,3,3,4,3
77,Female,Kohls,Somewhat Frequently,Christmas gifts,White,High School/GED,"$20,001-$35,000",175,411,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,6,6,6
64,Female,shoprite,Somewhat Frequently,groceries,White,Bachelor's degree,"$20,001-$35,000",296,415.5,1,1,1,1,1,1,1,1,1,1,2,5,2,1,5,1,7,7,5
74,Female,Homegoods,Somewhat Frequently,dog food holder,White,Graduate/Professional Degree,"Greater than $100,000",154,418.5,7,6,7,7,7,7,6,6,6,6,6,7,1,6,7,2,7,7,4
60,Female,walmart,Frequently,coffee creamer,Other,Some College/Associates Degree,"$20,001-$35,000",270,419,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,1,7,7,4
66,Female,Kohl’s ,Somewhat Frequently,Gifts,White,Some College/Associates Degree,"$75,000-$100,000",224,423,7,7,7,,,,,,7,7,7,7,1,7,7,1,7,7,7
71,Female,aldi,Somewhat Frequently,groceries,White,Some College/Associates Degree,"$20,001-$35,000",721,424,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,3,3,1
71,Male,Dillards,Somewhat Rarely,Variety of items,White,Bachelor's degree,"$75,000-$100,000",291,430.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,6,6,6
62,Female,KMART,Somewhat Rarely,christmas,White,Some College/Associates Degree,"$20,000 less",160,430.5,7,7,7,7,7,7,7,7,7,7,7,1,6,7,3,1,7,7,6
57,Female,Hobby Lobby,Occasionally,Xmas craft supplies,White,Some College/Associates Degree,"$20,000 less",383,442.5,7,7,7,,,,7,,7,7,7,7,1,7,7,4,7,6,5
70,Female,Zulilly,Occasionally,Christmas gifts,White,Some College/Associates Degree,"$35,001-$50,000",255,445,6,6,7,7,7,7,7,7,7,7,7,7,1,7,7,4,5,6,4
59,Female,Barnes and Noble ,Somewhat Frequently,Books,White,Bachelor's degree,"$50,001-75,000",193,451.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,7,5
42,Female,Walmart,Frequently,Calendar,White,Bachelor's degree,"Greater than $100,000",110,469,4,4,3,3,3,3,3,3,4,3,3,5,4,5,5,6,2,2,2
57,Female,Tractor Supply,Rarely,pet supplies,White,Some College/Associates Degree,"$20,001-$35,000",464,473,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,2,5,6,5
61,Male,Aldi,Frequently,Fruit,White,,"Greater than $100,000",194,483,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,5,4,1
70,Female,Imaginuity,Occasionally,toys,White,Some College/Associates Degree,"Greater than $100,000",313,490,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,5,6,2
64,Female,Best buy,Somewhat Rarely,Laptop,White,Graduate/Professional Degree,"$50,001-75,000",292,497.5,7,7,7,7,,,,,6,6,6,6,2,6,6,5,6,6,5
70,Female,Anderson Creek resale,Somewhat Frequently,Everything,White,Some College/Associates Degree,"$20,001-$35,000",278,500.5,,,7,,7,,,,6,6,6,5,4,2,5,5,2,3,1
55,Female,Publix,Somewhat Frequently,Submarine sandwich,White,Bachelor's degree,"$20,000 less",167,501.5,3,3,3,3,3,4,3,3,4,5,4,5,2,5,7,5,4,1,1
68,Female,JC Penny,Somewhat Frequently,Bed sheets,White,Some College/Associates Degree,"Greater than $100,000",114,503,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,6,7,3
38,Male,kohls,Somewhat Frequently,children cloth,White,,"$50,001-75,000",1184,508,6,6,6,7,6,6,6,6,6,6,6,7,1,6,7,3,5,5,5
63,Male,Walmart,Frequently,Single up coffee maker,White,Bachelor's degree,"$20,001-$35,000",189,513.5,6,7,6,7,6,6,7,6,6,6,6,7,1,7,7,5,6,5,5
66,Male,sams,Occasionally,tv,White,Bachelor's degree,"$20,000 less",287,528.5,6,5,6,6,6,7,7,6,6,6,6,6,2,6,6,2,4,6,3
58,Female,Safeway,Somewhat Frequently,Deli broccoli salad,White,Bachelor's degree,"$35,001-$50,000",543,528.5,7,7,6,7,7,7,7,7,6,6,6,7,1,7,7,3,5,2,1
69,Female,Michael's,Occasionally,Fur Pom poms,White,High School/GED,"$35,001-$50,000",325,539.5,7,6,7,7,7,7,7,7,6,6,7,7,1,6,6,2,6,5,5
36,Female,dolls kill,Somewhat Frequently,clothes,White,Some College/Associates Degree,"$35,001-$50,000",464,542.5,4,5,5,5,5,6,5,5,4,3,5,5,4,4,4,4,5,4,4
61,Male,POLO,Occasionally,Christmas gifts,Hispanic/Latino,Graduate/Professional Degree,"Greater than $100,000",1184,552,7,7,6,7,7,7,7,7,6,6,6,5,2,6,6,4,7,4,3
69,Female,Macys,Somewhat Frequently,mens sweater,White,Graduate/Professional Degree,"$50,001-75,000",219,578,7,7,7,7,7,7,7,,6,6,7,7,1,7,7,2,6,6,6
61,Male,albertsons,Frequently,seafood,White,Some College/Associates Degree,"$75,000-$100,000",144,587,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,6,5
41,Female,Backcountry,Occasionally,Bike shorts,White,Bachelor's degree,"Greater than $100,000",2609,591,7,7,7,7,7,7,7,7,7,7,7,7,1,7,,3,3,3,1
